# inflected verbs, comma separated per slot: TLA, lemma altinfs prenoms presufs stats imps
C5673	ϣ	ϣ,ⲉϣ	ϣ-,ⲉϣ-	_	_	_
C5713	ϣⲓ	ϣⲓ	_	ϣⲓⲧ=	_	_
C5922	ϣⲓⲛⲉ	ϣⲓⲛⲉ,ϣⲛ	ϣⲓⲛⲉ-,ϣⲛ-	_	_	_
C6099	ϣⲓⲧⲉ	ϣⲓⲧⲉ	ϣⲁⲁⲧ-	ϣⲁⲁⲧ=,ϣⲁⲧ=	ϣⲁⲁⲧ+	_
C6069	ϣⲟⲣϣⲣ	ϣⲟⲣϣⲣ	_	ϣⲣϣⲱⲣ=	_	_
C6131	ϣⲟⲧϣⲧ	ϣⲟⲧϣⲧ	_	ϣⲉⲧϣⲱⲧ=	_	_
C6150	ϣⲟⲩⲟ	ϣⲟⲩⲟ	_	ϣⲟⲩⲱ=	ϣⲟⲩⲉⲓⲧ+	_
C6120	ϣⲧⲟⲣⲧⲣ	ϣⲧⲟⲣⲧⲣ	_	ϣⲧⲣⲧⲱⲣ=	ϣⲧⲣⲧⲱⲣ+	_
C6189	ϣⲱϥ	ϣⲱϥ	_	_	ϣⲏϥ+	_
C5742	ϣⲱⲃ	ϣⲱⲃ	ϣⲃ-	_	_	_
C5971	ϣⲱⲡ	ϣⲉⲡ,ϣⲡ,ϣⲱⲡ	ϣⲉⲡ-,ϣⲡ-	ϣⲉⲡ=,ϣⲟⲡ=	ϣⲏⲡ+	_
C5995	ϣⲱⲡⲉ	ϣⲟⲟⲡ,ϣⲱⲡⲉ	ϣⲟⲟⲡ-,ϣⲱⲡⲉ-	ϣⲟⲟⲡ=	ϣⲟⲟⲡ+	_
C6055	ϣⲱⲣⲡ	ϣⲟⲣⲡ,ϣⲣⲡ,ϣⲱⲣⲡ	_	ϣⲟⲣⲡ=	_	_
C6112	ϣⲱⲧⲙ	ϣⲱⲧⲙ	_	_	ϣⲟⲧⲙ+	_
C6246	ϣⲱⲱϭⲉ	ϣⲱⲱϭⲉ	_	_	ϣⲟⲟϭⲉ+	_
C6260	ϥⲓ	ϥⲓ,ϥⲓⲧ	ϥⲓ-,ϥⲓⲧ-	ϥⲓ=,ϥⲓⲧ=	_	_
C6291	ϥⲱϭⲉ	ϥⲱϭⲉ	ϥⲉϭ-	ϥⲉϭ=,ϥⲟϭ=,ⲃⲟϭ=	_	_
C6282	ϥⲱⲧⲉ	ϥⲱⲧⲉ	_	ϥⲟⲧ=	_	_
C6977	ϩⲓⲟⲩⲉ	ϩⲓⲟⲩⲉ	ϩⲓ-	_	_	_
C6486	ϩⲕⲟ	ϩⲕⲟ	_	_	ϩⲕⲁⲉⲓⲧ+	_
C6591	ϩⲗⲟϭ	ϩⲗⲟϭ	_	_	ϩⲟⲗϭ+	_
C6630	ϩⲙⲟⲙ	ϩⲙⲟⲙ	_	_	ϩⲏⲙ+	_
C6828	ϩⲣⲟϣ	ϩⲣⲟϣ	_	_	ϩⲟⲣϣ+	_
C6932	ϩⲧⲟⲙⲧⲙ	ϩⲧⲟⲙⲧⲙ	_	_	ϩⲧⲙⲧⲱⲙ+	_
C7003	ϩⲱϣ	ϩⲱϣ	_	_	ϩⲏϣ+	_
C6459	ϩⲱⲃⲥ	ϩⲟⲃⲥ,ϩⲱⲃⲥ	ϩⲃⲥ-	ϩⲟⲃⲥ=	_	_
C6740	ϩⲱⲡ	ϩⲉⲡ,ϩⲱⲡ	ϩⲉⲡ-,ϩⲟⲡ-	ϩⲟⲡ=	ϩⲏⲡ+	_
C6924	ϩⲱⲧⲃ	ϩⲱⲧⲃ	_	ϩⲟⲧⲃⲉ=	_	_
C6474	ϩⲱⲱⲕ	ϩⲱⲱⲕ	_	ϩⲟⲕ=	_	_
C7515	ϫⲁϫⲉ	ϫⲁϫⲉ	_	_	ϫⲁϫⲱ+	_
C7058	ϫⲓ	ϫⲉⲩ,ϫⲓ,ϫⲓⲧ	ϫⲉⲩ-,ϫⲓ-	ϫⲓ=,ϫⲓⲧ=	_	_
C7382	ϫⲓⲥⲉ	ϫⲓⲥⲉ	_	ϫⲁⲥⲧ=	ϫⲟⲥⲉ+	_
C7246	ϫⲛⲟⲩ	ϫⲛⲉ,ϫⲛⲟⲩ	ϫⲛⲉ-	ϫⲛⲟⲩ=	_	_
C7295	ϫⲡⲓⲟ	ϫⲡⲓⲟ	_	ϫⲡⲓⲉ=,ϫⲡⲓⲟ=	_	_
C7299	ϫⲡⲟ	ϫⲡⲉ,ϫⲡⲟ	ϫⲡⲉ-,ϫⲡⲟ-	ϫⲡⲉ=,ϫⲡⲟ=	_	_
C7332	ϫⲣⲟ	ϫⲣⲟ	_	_	ϫⲟⲟⲣ+,ϫⲣⲁⲉⲓⲧ+	_
C7089	ϫⲱ	ϫⲉ,ϫⲟⲟ,ϫⲟⲟⲩ,ϫⲱ	ϫⲉ-,ϫⲟⲟ-,ϫⲱ-	ϫⲉ=,ϫⲟ=,ϫⲟⲟ=,ϫⲱ=	_	ⲁϫⲓ!,ⲁϫⲓ-!,ⲁϫⲓ=!
C7482	ϫⲱϩⲙ	ϫⲁϩⲙ,ϫⲱϩⲙ	_	ϫⲁϩⲙ=,ϫⲁϩⲙⲉ=	ϫⲁϩⲙ+	_
C7119	ϫⲱⲕ	ϫⲱⲕ	ϫⲉⲕ-,ϫⲱⲕ-	ϫⲟⲕ=,ϫⲱⲕ=	ϫⲏⲕ+	_
C7131	ϫⲱⲕⲙ	ϫⲱⲕⲙ	_	ϫⲉⲕⲙ=	_	_
C7328	ϫⲱⲱⲣⲉ	ϫⲱⲱⲣⲉ	_	ϫⲟⲟⲣ=,ϫⲟⲟⲣⲉ=	_	_
C7566	ϭⲃⲃⲉ	ϭⲃⲃⲉ	_	_	ϭⲟⲟⲃ+	_
C7750	ϭⲓⲛⲉ	ϭⲓⲛⲉ,ϭⲛ	ϭⲉⲛ-,ϭⲙ-,ϭⲛ-	ϭⲛ=,ϭⲛⲧ=	_	_
C7555	ϭⲱ	ϭⲱ	ϭⲱ-	ϭⲱ=	ϭⲉⲉⲧ+	_
C8018	ϭⲱϫⲃ	ϭⲱϫⲃ	_	_	ϭⲟϫϥ+,ϭⲟϫⲃ+	_
C7787	ϭⲱⲛⲧ	ϭⲱⲛⲧ	_	_	ϭⲟⲛⲧ+	_
C7830	ϭⲱⲡⲉ	ϭⲱⲡⲉ	ϭⲉⲡ-	ϭⲟⲡ=	ϭⲏⲡ+	_
C7732	ϭⲱⲱⲙⲉ	ϭⲱⲱⲙⲉ	_	_	ϭⲟⲟⲙⲉ+	_
C4755	ϯϩⲉ	ϯϩⲉ	_	_	ⲧⲁϩⲉ+	_
C4158	ϯⲧⲁⲉⲓⲟ	ϯⲧⲁⲉⲓⲟ	_	_	_	ⲙⲁⲧⲁⲓⲉ-!
C255	ⲁϣⲁⲓ	ⲁϣⲁⲓ	_	_	ⲟϣ+	_
C126	ⲁⲛⲁⲓ	ⲁⲛⲁⲓ	_	ⲣⲁⲛⲁ=	_	_
C216	ⲁⲥⲁⲓ	ⲁⲥⲁⲓ	_	_	ⲁⲥⲱⲟⲩ+	_
C579	ⲃⲱϣ	ⲃⲱϣ	_	ⲃⲟϣ=	_	_
C370	ⲃⲱⲕ	ⲃⲱⲕ	ⲃⲱⲕ-	_	ⲃⲏⲕ+	_
C404	ⲃⲱⲗ	ⲃⲟⲗ,ⲃⲱⲗ	ⲃⲉⲗ-,ⲃⲗ-	ⲃⲟⲗ=	ⲃⲏⲗ+	_
C562	ⲃⲱⲧⲉ	ⲃⲱⲧⲉ	_	ⲃⲟⲧ=	ⲃⲏⲧ+	_
C905	ⲉⲓⲛⲉ	ⲉⲓⲛⲉ,ⲉⲛⲧ,ⲛ	ⲉⲛ-,ⲉⲛⲧ-,ⲛ-	ⲉⲛⲧ=,ⲛ=,ⲛⲧ=	_	ⲁⲛⲓ!,ⲁⲛⲓ-!,ⲁⲛⲓ=!
